State,County,prop_male,prop_female,white_male,white_female,black_male,black_female,native_am_male,native_am_female,aa_male,aa_female,native_ha_male,native_ha_female,hisp_male,hisp_female
Nebraska,Thayer County,0.4961023385968419,0.5038976614031581,0.46731960823505897,0.47591445132920246,0.0013991605036977814,0.002198680791525085,0.001798920647611433,0.002598440935438737,0.0015990405756546072,9.994003597841295e-4,1.998800719568259e-4,0,0.017389566260243853,0.013791724965020987
Nebraska,Thomas County,0.5055401662049861,0.49445983379501385,0.4515235457063712,0.4667590027700831,0.00554016620498615,0.00554016620498615,0.015235457063711912,0.002770083102493075,0.0013850415512465374,0.0013850415512465374,0,0,0.023545706371191136,0.015235457063711912
Nebraska,Thurston County,0.4946013289036545,0.5053986710963455,0.17663344407530454,0.17594130675526023,0.003045404208194906,0.001937984496124031,0.2655038759689923,0.28433001107419714,0.003875968992248062,0.0027685492801771874,2.768549280177187e-4,0,0.033361018826135104,0.028931339977851606
Nebraska,Valley County,0.49855699855699853,0.5014430014430015,0.4672919672919673,0.4781144781144781,9.62000962000962e-4,0.002405002405002405,7.215007215007215e-4,0.0016835016835016834,0.0012025012025012026,0.0026455026455026454,0,0,0.022366522366522368,0.012025012025012025
Nebraska,Washington County,0.5015678518018235,0.4984321481981765,0.4708379564860823,0.47218872111534566,0.004052293887790053,0.0032804283853538523,0.001977905349992764,0.0013990062231656133,0.0024120796951131265,0.001977905349992764,9.648318780452506e-5,2.894495634135752e-4,0.01640214192676926,0.013362921510926721
Nebraska,Wayne County,0.5020777836973894,0.4979222163026106,0.44816196057538626,0.4450719232818327,0.01108151305274374,0.005753862546616942,0.002663825253063399,0.003090037293553543,0.0019179541822056474,0.003942461374533831,6.393180607352157e-4,4.262120404901438e-4,0.03271177410761854,0.032818327117741075
Nebraska,Webster County,0.49727559506739316,0.5027244049326068,0.45454545454545453,0.4551190134786349,0.0028677946659019216,0.002294235732721537,0.002294235732721537,0.0025810151993117293,0.0017206767995411529,0.002294235732721537,0.0011471178663607685,0.0028677946659019216,0.02667049039288787,0.027817608259248637
Nebraska,Wheeler County,0.508301404853129,0.49169859514687103,0.4904214559386973,0.47381864623243936,0,0,0.002554278416347382,0.002554278416347382,0,0.0038314176245210726,0,0,0.008939974457215836,0.006385696040868455
Nebraska,York County,0.4899480956210249,0.5100519043789751,0.4476935448497697,0.45843994444038305,0.006579428320783683,0.00848015205789897,0.002485561810073836,0.003874552233350391,0.002704876087433292,0.004678704583668397,1.462095182396374e-4,2.193142773594561e-4,0.024416989546019445,0.02807222750201038
Nevada,Churchill County,0.5081295917138384,0.49187040828616163,0.3683006142358184,0.3566983821108836,0.0133686619294231,0.008510979967080171,0.020313942751615882,0.023806656228672368,0.011160624673812678,0.015456260789272954,0.001726283672568148,0.0016861375406479586,0.07463165923963226,0.07013529246457104
Nevada,Clark County,0.4986202500093748,0.5013797499906252,0.21268575890661154,0.2040485901403573,0.057951705441575144,0.06082061485453619,0.002231864173484536,0.0023690671301861946,0.04417141105079377,0.05429884215704224,0.0034715436214963064,0.0035866882250304957,0.15948012873254908,0.1569593001325707
Nevada,Douglas County,0.5020345567937838,0.4979654432062161,0.4025968714855332,0.39924343114201,0.00423269604334935,0.0037623964829772007,0.00807688375421736,0.008220018403026275,0.007054493405582251,0.010142112258460281,7.361210510172784e-4,7.97464471935385e-4,0.06821388406093447,0.06361312749207647
Nevada,Elko County,0.519686232900072,0.480313767099928,0.34472696957065446,0.32056917655083556,0.006745234756906287,0.003239986357952177,0.021827276516730457,0.02449884421539278,0.00460419114024783,0.00606313236575846,9.473644321497594e-4,6.631551025048316e-4,0.13090681723445374,0.1157489863200576
Nevada,Esmeralda County,0.5429553264604811,0.4570446735395189,0.35738831615120276,0.30584192439862545,0.025200458190148912,0.009163802978235968,0.032073310423825885,0.033218785796105384,0.0057273768613974796,0,0.001145475372279496,0,0.10423825887743414,0.0882016036655212
Nevada,Eureka County,0.5342533267619517,0.4657466732380483,0.4263183834401183,0.37703302119270576,0.005914243469689502,0.004435682602267127,0.01330704780680138,0.012814194184327254,0.0049285362247412515,0.005421389847215377,4.928536224741252e-4,9.857072449482504e-4,0.0763923114834894,0.055692459339576145
Nevada,Humboldt County,0.5197552135939635,0.48024478640603646,0.33759134929594203,0.30966668647139206,0.006119660150912008,0.002257738696452974,0.01788366704295645,0.018893708038738043,0.0035648505733468006,0.003683678925791694,9.506268195591468e-4,0.00106945517200404,0.14247519458142713,0.13296892638583566
Nevada,Lander County,0.5144613159797542,0.48553868402024586,0.35339840925524224,0.3378524945770065,0.003796095444685466,0.0032537960954446853,0.023318872017353578,0.01789587852494577,0.0028922631959508315,0.0070498915401301515,1.8076644974692697e-4,0,0.12219812002892264,0.10936370209689082
Nevada,Lincoln County,0.5344395137950994,0.46556048620490065,0.44047848736253137,0.40497781207794714,0.025081998842369283,0.0052093382211074665,0.007331661200077175,0.007331661200077175,0.003087015242137758,0.0038587690526721975,0.0019293845263360988,0.001543507621068879,0.04418290565309666,0.033957167663515336
Nevada,Lyon County,0.5112849939141019,0.48871500608589813,0.3739523561119805,0.3639888715006086,0.006903147278734133,0.004660059120153017,0.010485133020344288,0.01156320639888715,0.005703355938097722,0.00881585811163276,0.0014432272648235089,0.0011650147800382543,0.09773952356111981,0.08304642670839854
Nevada,Mineral County,0.49544950055493897,0.504550499445061,0.29988901220865705,0.30899001109877916,0.021087680355160933,0.019311875693673698,0.0685904550499445,0.08079911209766925,0.014428412874583796,0.016426193118756937,8.879023307436182e-4,0.0013318534961154272,0.06992230854605994,0.06193118756936737
Nevada,Nye County,0.511316982997657,0.4886830170023429,0.38247748425509964,0.36811899490574557,0.02039851256367818,0.012982825699116567,0.006813834017582701,0.005975538980719214,0.005352191389205339,0.011521183070739204,0.0022999376652408487,0.002536379855125422,0.07942308105668164,0.07385594222212669
Nevada,Pershing County,0.6455018587360595,0.3544981412639405,0.4071375464684015,0.23494423791821561,0.040892193308550186,0.0022304832713754648,0.01516728624535316,0.01412639405204461,0.009070631970260224,0.004758364312267658,0.0013382899628252788,0.0011895910780669145,0.16178438661710037,0.0862453531598513
Nevada,Storey County,0.5124909046810575,0.48750909531894254,0.4314819306330342,0.40431724472471503,0.010186757215619695,0.0063060878001455255,0.008003880669415474,0.008003880669415474,0.00873150618481688,0.014552510308028135,0.001212709192335678,0.003395585738539898,0.04050448702401164,0.0395343196701431
Nevada,Washoe County,0.5045268589388763,0.4954731410611237,0.31514106536534053,0.30801515951637154,0.012900858714070908,0.010519194348478004,0.006406952848135494,0.006983811893052029,0.02484099262171832,0.029487677060733502,0.0030242683751874264,0.0030157851539386535,0.1274837281212422,0.12252528530133462
Nevada,White Pine County,0.5823590814196242,0.4176409185803758,0.39498956158663884,0.31524008350730687,0.0453027139874739,0.0041753653444676405,0.02118997912317328,0.01837160751565762,0.005636743215031315,0.004488517745302714,6.263048016701461e-4,8.350730688935282e-4,0.10365344467640919,0.06336116910229644
Nevada,Carson City,0.5130374132627513,0.48696258673724874,0.3343765648472709,0.3294763573932327,0.015398097145718577,0.004578296015451749,0.009961370627369626,0.00913870806209314,0.011624579726732956,0.011660347664353674,0.0013412976607768796,0.0010551541598111452,0.12956935403104658,0.11882108877602117
